Date,Symbol,Signals,CMP
2026-05-14,VOLTAS,Rally +2.7%,1293.5
2026-05-14,UNITDSPR,Flat +1.3%,1272.5
2026-05-14,TMPV,Flat +0.6%,338.75
2026-05-14,MUTHOOTFIN,Muted Reaction | Flat +0.7%,3531.1
2026-05-14,KPIL,Muted Reaction | Flat -0.2%,1226.6
2026-05-14,JSWSTEEL,Flat +1.7% | Vol Surge 2.2x,1296.9
2026-05-14,IRFC,Flat -1.3% | High Vol 1.9x,100.19
2026-05-14,HAL,Flat -0.2% | Vol Surge 2.2x,4608.0
2026-05-14,CLEAN,Flat +0.1% | Vol Surge 2.1x,818.0
2026-05-14,CHAMBLFERT,Muted Reaction | Flat -0.9%,424.6
2026-05-14,CARBORUNIV,Muted Reaction | Flat +0.4%,1037.35
2026-05-14,APOLLOTYRE,Flat +1.3% | High Vol 1.6x,401.8
2026-05-13,TVSMOTOR,Flat -0.9% | Vol Surge 2.0x,3527.2
2026-05-13,TMPV,Muted Reaction | Flat +0.0%,336.85
2026-05-13,TIINDIA,Flat -0.4% | High Vol 1.5x,2941.0
2026-05-13,REDINGTON,Muted Reaction | Flat -0.3%,210.05
2026-05-13,PFC,Flat +1.2% | Vol Surge 2.3x,446.0
2026-05-13,OIL,Rally +3.3%,507.1
2026-05-13,LICHSGFIN,Rally +3.2%,585.65
2026-05-13,HINDPETRO,Bullish Reaction | Surge +5.5% | High Vol 1.8x,390.1
2026-05-13,DLF,Muted Reaction | Flat +0.9%,574.15
2026-05-13,CROMPTON,Muted Reaction | Flat +1.0%,284.8
2026-05-13,CIPLA,Rally +2.7% | Vol Explosion 4.3x,1327.6
2026-05-13,BHARTIARTL,Flat +1.8%,1789.2
2026-05-12,TORNTPOWER,Selloff -5.0%,1597.6
2026-05-12,TATAPOWER,Selloff -3.4%,418.4
2026-05-12,PFIZER,Selloff -3.1%,4725.9
2026-05-12,MFSL,Selloff -2.5%,1653.7
2026-05-12,KPRMILL,Flat -1.7% | Vol Surge 2.6x,921.45
2026-05-12,DRREDDY,Muted Reaction | Flat -0.8%,1270.0
2026-05-12,DIXON,Decline -5.9%,10138.0
2026-05-12,BERGEPAINT,Flat -1.2%,488.1
2026-05-11,UPL,Bullish Reaction | Rally +3.6% | Vol Explosion 4.2x,669.0
2026-05-11,PVRINOX,Bearish Reaction | Selloff -4.5% | Vol Explosion 13.3x,1026.0
2026-05-11,NIACL,Muted Reaction | Flat -0.6%,163.13
2026-05-11,JSWENERGY,Selloff -2.5% | High Vol 1.6x,556.65
2026-05-11,JBCHEPHARM,Rally +2.8% | Vol Surge 2.1x,2209.2
2026-05-11,INDHOTEL,Flat -1.7%,661.3
2026-05-11,CANBK,Bearish Reaction | Selloff -3.7% | Vol Explosion 4.0x,129.43
2026-05-11,ABBOTINDIA,Bullish Reaction | Rally +4.1% | Vol Surge 2.5x,27795.0
2026-05-08,TITAN,Bullish Reaction | Rally +4.7% | Vol Explosion 5.4x,4509.0
2026-05-08,TATACONSUM,Rally +2.1% | Vol Explosion 3.4x,1176.2
2026-05-08,SBIN,Bearish Reaction | Decline -6.7% | Vol Explosion 4.4x,1019.3
2026-05-08,OBEROIRLTY,Flat +1.7% | High Vol 1.6x,1703.0
2026-05-08,MCX,Flat +1.8% | Vol Surge 2.2x,3097.8
2026-05-08,CHOLAHLDNG,Flat +1.5%,1780.7
2026-05-08,BANKBARODA,Selloff -2.4% | Vol Surge 2.1x,263.9
2026-05-08,BALKRISIND,Flat +0.2% | High Vol 1.8x,2262.5
2026-05-08,ABB,Selloff -2.4% | High Vol 1.7x,7012.5
2026-05-07,THERMAX,Rally +2.6% | Vol Surge 2.6x,4182.3
2026-05-07,SONATSOFTW,Flat +0.4% | High Vol 1.6x,270.75
2026-05-07,PIDILITIND,Rally +2.0%,1476.0
2026-05-07,MRF,Flat -0.3% | Vol Explosion 3.0x,130425.0
2026-05-07,MGL,Flat +1.1% | High Vol 1.5x,1179.8
2026-05-07,LUPIN,Muted Reaction | Flat +0.7%,2460.1
2026-05-07,KARURVYSYA,Rally +2.7% | Vol Surge 2.6x,313.55
2026-05-07,ESCORTS,Flat +0.9% | Vol Explosion 7.4x,3345.9
2026-05-07,DABUR,Flat +0.8% | High Vol 1.7x,470.0
2026-05-07,COROMANDEL,Selloff -2.6% | Vol Explosion 3.0x,1965.0
2026-05-07,BRITANNIA,Muted Reaction | Flat +0.5%,5814.0
2026-05-07,BIOCON,Flat +0.4% | High Vol 1.9x,382.25
2026-05-07,BHARATFORG,Bullish Reaction | Surge +6.4% | Vol Explosion 6.4x,1992.9
2026-05-07,BAJAJHLDNG,Flat -0.1% | Vol Explosion 3.9x,10597.0
2026-05-06,SHREECEM,Flat +0.5% | Vol Explosion 3.5x,24975.0
2026-05-06,RADICO,Flat +0.5% | Vol Surge 2.7x,3357.2
2026-05-06,POLYCAB,Flat +0.9% | Vol Explosion 3.4x,8415.5
2026-05-06,POLICYBZR,Flat +1.3% | Vol Surge 2.2x,1701.8
2026-05-06,PAYTM,Rally +2.1% | High Vol 1.7x,1110.6
2026-05-06,KPITTECH,Bearish Reaction | Selloff -3.1% | Vol Explosion 7.7x,748.6
2026-05-06,GODREJCP,Muted Reaction | Flat -0.7%,1094.1
2026-05-06,CGPOWER,Flat +0.2% | Vol Surge 2.9x,828.9
2026-05-06,CESC,Flat -1.0%,185.01
2026-05-06,BSOFT,Flat +0.7% | Vol Surge 2.1x,372.5
2026-05-06,BRIGADE,Rally +2.2% | Vol Surge 2.0x,758.25
2026-05-06,BLUESTARCO,Muted Reaction | Flat +0.2%,1806.6
2026-05-06,BAJAJ-AUTO,Rally +2.7%,10319.0
2026-05-05,UBL,Muted Reaction | Flat -0.6%,1453.8
2026-05-05,SRF,Flat -1.1% | High Vol 1.6x,2522.8
2026-05-05,POONAWALLA,Muted Reaction | Flat +0.4%,439.0
2026-05-05,PNB,Flat -0.7% | Vol Explosion 4.3x,107.89
2026-05-05,MARICO,Rally +2.9% | Vol Explosion 5.0x,807.2
2026-05-05,M&M,Bullish Reaction | Rally +3.4% | Vol Surge 2.5x,3210.8
2026-05-05,LT,Flat -1.1% | Vol Surge 2.2x,4054.5
2026-05-05,HEROMOTOCO,Muted Reaction | Flat +0.8%,5109.0
2026-05-05,COFORGE,Flat +1.5%,1168.8
2026-05-05,AAVAS,Bullish Reaction | Rally +4.6% | Vol Explosion 4.5x,1443.6
2026-05-04,TATACHEM,Muted Reaction | Flat -0.4%,805.75
2026-05-04,PETRONET,Muted Reaction | Flat -0.0%,276.7
2026-05-04,MANAPPURAM,Bullish Reaction | Rally +3.7% | Vol Surge 2.6x,316.3
2026-05-04,KEI,Bullish Reaction | Rally +4.1% | High Vol 1.7x,5058.3
2026-05-04,JSL,Flat +1.4%,778.4
